127.0.0.1 - - [10/May/2023:09:05:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:17 +0900] "GET /comm/ HTTP/1.1" 200 7822
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:17 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:24 +0900] "POST /comm/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:24 +0900] "GET /comm/ HTTP/1.1" 200 6447
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:24 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:24 +0900] "GET /comm/resources/images/user.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:25 +0900] "GET /comm/board/list/3 HTTP/1.1" 200 14841
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:25 +0900] "GET /comm/resources/images/board/20230509124452_63983.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [10/May/2023:09:05:25 +0900] "GET /comm/resources/images/user.png HTTP/1.1" 404 721
